Crop,Soil_Type,Season,Region,N,P,K,pH,Rainfall,Temperature,Humidity,Yield_kg_per_acre,Productivity,output
Sugarcane,Loamy,Kharif,East,281,113,257,6.54,381.4,27.4,73.2,41.65,High,1
Rice,Black,Zaid,West,89,46,76,5.96,96.2,32.3,49,17.33,Low,0
Millets,Clay,Rabi,East,119,85,71,5.96,216.3,24.6,68.6,22.87,Moderate,1
Millets,Sandy,Rabi,Central,251,133,278,6.67,443.4,18.4,75.6,44.48,High,1
Wheat,Sandy,Rabi,East,139,90,160,6.58,235.1,28.6,70,25.96,Moderate,1
Sugarcane,Clay,Rabi,South,173,113,153,7.49,398.9,18.4,72.5,39.56,High,1
Wheat,Loamy,Zaid,East,175,55,142,6.02,185.7,22.1,64.9,28.86,Moderate,1
Maize,Black,Kharif,Central,192,65,108,7.12,262.9,22,60.8,26.06,Moderate,1
Millets,Loamy,Rabi,East,100,50,63,5.27,82.2,31.7,41.7,17.92,Low,0
Millets,Sandy,Zaid,North,99,17,75,6.16,156.7,34.7,39.4,15.72,Low,0
Maize,Loamy,Kharif,Central,197,90,144,7.39,296.8,26.6,61.4,33.74,Moderate,1
Rice,Clay,Zaid,South,188,100,186,6.98,357.4,27.4,66.8,34.11,High,1
Maize,Clay,Kharif,Central,212,163,242,7.64,445.4,18.6,80.2,43.1,High,1
Millets,Clay,Zaid,West,100,37,58,5.14,78.5,32.2,39.6,26.36,Low,0
Rice,Sandy,Kharif,South,44,59,74,5.74,88.1,31.3,38.8,15.9,Low,0
Maize,Sandy,Kharif,West,62,22,68,5.36,151.7,36.3,44.6,26.34,Low,0
Millets,Clay,Kharif,West,110,27,36,5.24,190.1,33.7,51.4,19.42,Low,0
Sugarcane,Black,Rabi,East,196,108,74,6.31,308.9,24.1,54.5,34.74,Moderate,1
Cotton,Loamy,Zaid,West,116,78,168,6.1,168,31.4,48.1,31.1,Moderate,1
Sugarcane,Sandy,Zaid,North,228,135,242,7.73,365.4,21.2,80.1,33.43,High,1
Rice,Sandy,Rabi,Central,127,91,97,5.85,239.8,29.4,59.9,23.84,Moderate,1
Rice,Red,Kharif,Central,172,79,152,6.9,235.6,31.5,48.7,34.57,Moderate,1
Maize,Black,Zaid,West,74,52,58,5.1,97.2,35.2,45.5,16.01,Low,0
Wheat,Black,Zaid,North,166,135,232,6.98,409.6,18.8,85.1,34.97,High,1
Sugarcane,Black,Rabi,East,242,137,211,7.04,369.5,24.7,64.2,30.23,High,1
Rice,Red,Rabi,South,102,27,81,5.93,168.1,34.4,33.6,25.3,Low,0
Cotton,Sandy,Kharif,South,99,111,70,6.73,243.5,30.8,58.3,30.79,Moderate,1
Cotton,Loamy,Rabi,North,184,50,95,6.18,155.2,31.8,53.4,25.22,Moderate,1
Maize,Sandy,Kharif,East,147,54,174,6.58,241.5,24.6,63.5,29.8,Moderate,1
Maize,Clay,Kharif,North,68,58,69,6.26,158.6,37.8,50.1,22.22,Low,0
Millets,Sandy,Zaid,East,174,79,146,6.78,298.1,24,48.1,28.13,Moderate,1
Cotton,Black,Rabi,South,201,149,232,7.55,301.8,20.4,69,41.37,High,1
Cotton,Sandy,Rabi,West,282,133,261,6.89,304,23,78.3,39.37,High,1
Rice,Loamy,Zaid,South,103,83,78,6.64,228.3,26.5,40.4,30.13,Moderate,1
Maize,Sandy,Kharif,Central,103,38,46,5.79,118.9,30.1,39.1,19.76,Low,0
Cotton,Loamy,Kharif,East,190,59,79,6.92,285,23.8,48.3,22.78,Moderate,1
Cotton,Loamy,Rabi,North,234,121,237,6.54,286.9,19.6,88.3,39.09,High,1
Rice,Clay,Zaid,West,83,60,76,5.64,78.6,32.3,42.3,21.58,Low,0
Millets,Clay,Kharif,East,195,93,113,6.25,216.7,31.9,40.9,32.46,Moderate,1
Sugarcane,Sandy,Zaid,South,88,27,20,5.93,84.1,34.2,43.3,25.86,Low,0
Millets,Clay,Rabi,South,183,97,164,6.65,225.9,28.7,70.4,24.65,Moderate,1
Rice,Sandy,Zaid,North,140,60,163,7.25,192.7,24.9,61.8,34.21,Moderate,1
Millets,Black,Zaid,West,169,135,297,7.65,283,25.9,64.1,40.76,High,1
Maize,Red,Rabi,East,99,73,123,6.49,172.1,25.4,68.6,26.6,Moderate,1
Wheat,Clay,Kharif,West,277,146,181,8.14,283.6,27.8,67.6,32.79,High,1
Rice,Red,Zaid,North,181,100,80,6.31,167.2,24.9,47.9,23.76,Moderate,1
Sugarcane,Red,Rabi,Central,58,47,72,5.33,124.4,35.1,46.9,22,Low,0
Wheat,Loamy,Rabi,West,241,122,195,7.87,348.9,20.1,62.6,42.84,High,1
Cotton,Sandy,Rabi,North,164,169,294,7.19,255.3,23.9,67,42.37,High,1
Cotton,Clay,Zaid,North,91,64,32,6.01,114.6,31.5,35,16.32,Low,0
Maize,Clay,Rabi,East,246,143,267,6.9,431.9,24,69.8,35,High,1
Rice,Loamy,Zaid,East,256,102,215,7.64,323.2,26.9,72.4,37.08,High,1
Millets,Black,Kharif,South,198,100,99,5.98,298.1,25.6,42,22.66,Moderate,1
Maize,Sandy,Rabi,East,253,160,227,8.06,398.3,23.3,72.1,41.3,High,1
Cotton,Black,Kharif,East,149,103,150,7.16,180.1,30.4,51.4,27.03,Moderate,1
Sugarcane,Sandy,Rabi,North,126,59,143,6.77,201.6,23.4,61.6,27.36,Moderate,1
Sugarcane,Black,Rabi,East,163,117,161,6.11,159.1,26.2,59.1,33.97,Moderate,1
Rice,Black,Zaid,West,245,168,276,6.5,364.6,21.7,83.5,40.18,High,1
Rice,Clay,Rabi,West,104,48,23,5.27,175.8,36.6,48.6,25.05,Low,0
Wheat,Black,Zaid,West,297,143,270,7.76,341.5,21.5,69.1,31.55,High,1
Millets,Sandy,Rabi,North,211,123,189,7.31,363.1,23,82.4,39.06,High,1
Wheat,Sandy,Zaid,Central,260,122,266,6.99,412.5,20.3,71,31.01,High,1
Cotton,Loamy,Kharif,West,136,116,103,6.03,155.1,30.4,65.6,24.71,Moderate,1
Millets,Loamy,Zaid,North,297,113,187,7.45,449.5,24.4,61.6,32.81,High,1
Maize,Sandy,Kharif,Central,129,52,123,6.62,185.4,22,41.3,30.1,Moderate,1
Rice,Loamy,Kharif,North,54,41,84,6.24,174.9,30.5,36,19.24,Low,0
Maize,Sandy,Rabi,North,205,108,171,8.17,327.4,22.4,75,38.24,High,1
Millets,Clay,Rabi,East,46,55,37,5.11,122.9,31.9,36.4,20.12,Low,0
Rice,Black,Zaid,East,41,67,60,5.59,110.7,37.1,34.2,23.53,Low,0
Sugarcane,Clay,Zaid,Central,160,94,126,6.73,196.4,25.5,43.9,26.87,Moderate,1
Millets,Clay,Rabi,West,80,30,67,5.99,169.7,33.8,41.4,22.31,Low,0
Maize,Sandy,Kharif,West,68,38,80,5.11,176.3,34.2,54.9,19.8,Low,0
Millets,Clay,Rabi,North,146,101,109,7.41,300.9,22.7,43.6,27.1,Moderate,1
Cotton,Black,Kharif,East,188,57,81,6.01,259.5,29.6,69.7,30.42,Moderate,1
Wheat,Sandy,Rabi,South,68,15,48,5.33,88.8,30.7,52.3,24.82,Low,0
Cotton,Sandy,Kharif,East,94,61,79,5.73,115.9,32,26.1,21.03,Low,0
Cotton,Red,Kharif,West,115,68,68,5.32,153.2,33.7,31.5,25.77,Low,0
Rice,Red,Zaid,South,105,96,159,5.84,223.9,26.1,54,23.81,Moderate,1
Cotton,Red,Rabi,Central,238,141,172,7.02,374.3,24.5,63.8,33.55,High,1
Cotton,Sandy,Rabi,South,168,111,165,7.4,204.3,23.3,64.5,26.73,Moderate,1
Cotton,Loamy,Kharif,North,116,21,45,5.92,133.2,35.2,48.3,23.57,Low,0
Maize,Loamy,Rabi,North,175,78,128,6.62,262,30.3,41.7,24.07,Moderate,1
Maize,Loamy,Zaid,Central,100,35,34,5.9,155.2,31.5,51.7,15.77,Low,0
Wheat,Loamy,Kharif,South,168,102,76,6.65,234,23.7,53.7,24.92,Moderate,1
Cotton,Loamy,Zaid,North,57,16,58,6.18,87.2,32.4,35.1,23.33,Low,0
Rice,Loamy,Zaid,East,179,113,172,6.62,199.3,28.2,43.1,28.2,Moderate,1
Rice,Sandy,Zaid,South,183,64,136,7.13,225.6,23.6,57.2,22.14,Moderate,1
Millets,Red,Kharif,East,91,65,28,5.98,103,32.4,35.9,23.43,Low,0
Cotton,Clay,Kharif,East,145,79,158,7.42,261.4,25.5,57.7,31.88,Moderate,1
Wheat,Black,Zaid,West,188,128,289,7.79,349.4,27.3,89.4,38.73,High,1
Millets,Sandy,Kharif,Central,73,58,18,5.02,115,36.6,26.7,17.31,Low,0
Millets,Loamy,Rabi,Central,215,133,243,7.27,250.9,18.3,65.3,33.97,High,1
Millets,Red,Kharif,East,45,43,60,5.65,128.6,33.9,33.2,22.94,Low,0
Maize,Sandy,Kharif,East,174,74,82,7.23,216.2,26.4,42.9,23.9,Moderate,1
Rice,Clay,Zaid,East,139,111,81,6.03,276.7,31.7,60,24.11,Moderate,1
Millets,Loamy,Kharif,North,194,97,178,6.29,213.3,26.7,71.5,25.2,Moderate,1
Rice,Loamy,Zaid,South,182,62,171,5.99,169.5,30.7,51.1,29.13,Moderate,1
Cotton,Loamy,Zaid,West,204,164,178,6.8,317.1,27.6,71.7,35.04,High,1
Millets,Clay,Rabi,North,53,59,46,5.84,173.8,31.4,33.8,18.2,Low,0
Rice,Loamy,Zaid,West,43,56,87,5.17,93.5,30.8,46.8,18.53,Low,0
Maize,Sandy,Zaid,West,246,143,288,7.67,397.2,26.4,66.3,30.13,High,1
Rice,Red,Rabi,South,90,65,71,5.88,175.9,37.2,30.1,23.57,Low,0
Rice,Black,Kharif,North,141,85,156,5.85,210.8,24.6,57.1,30.26,Moderate,1
Sugarcane,Clay,Zaid,Central,290,143,251,7.93,396.5,19.8,77.9,44.55,High,1
Wheat,Loamy,Kharif,South,191,144,278,7.89,397.1,18.4,63.3,42.66,High,1
Maize,Black,Zaid,East,287,143,216,7.16,288,20.6,80.5,33.83,High,1
Rice,Loamy,Kharif,East,202,158,205,6.87,350.6,24,85.9,41.76,High,1
Maize,Red,Zaid,West,193,87,77,6.33,193,30.3,49.2,31.77,Moderate,1
Maize,Black,Zaid,West,179,51,157,7.18,167.3,30.9,68.5,28.92,Moderate,1
Wheat,Sandy,Kharif,Central,105,50,42,6.11,136.7,30.6,33.4,21.04,Low,0
Millets,Sandy,Zaid,West,293,114,242,7.08,250.9,22,69.5,34.5,High,1
Millets,Red,Zaid,North,251,162,289,7,288.3,26.4,65.4,32.8,High,1
Wheat,Loamy,Zaid,North,106,55,35,5.62,86.7,35.3,48.7,24.86,Low,0
Cotton,Sandy,Rabi,Central,165,125,293,7.71,393.5,18,71.9,33.57,High,1
Cotton,Loamy,Kharif,Central,134,56,132,6.62,238.3,22.1,62.7,27.25,Moderate,1
Cotton,Red,Kharif,Central,124,86,125,5.87,239.6,29.4,47.6,29.39,Moderate,1
Cotton,Black,Rabi,East,137,60,116,7.39,262.7,30.9,42.8,27.83,Moderate,1
Maize,Black,Zaid,East,293,123,166,8.1,300.4,19.2,62.8,34.66,High,1
Sugarcane,Loamy,Kharif,North,43,23,55,5.1,92.4,32.7,26,25.48,Low,0
Millets,Clay,Kharif,West,79,29,44,5.36,166.3,37,40,23.26,Low,0
Sugarcane,Loamy,Kharif,East,93,58,84,5.44,122,37.4,30.7,23.14,Low,0
Cotton,Loamy,Rabi,North,295,111,284,7.95,397,19.9,82.4,42.77,High,1
Wheat,Red,Rabi,North,70,40,52,5.94,163.4,36.1,37.5,16.7,Low,0
Maize,Sandy,Zaid,West,137,95,176,6.74,174.4,26.3,66.9,24.08,Moderate,1
Wheat,Sandy,Zaid,East,90,32,84,5.63,79.5,32.4,36.7,21.72,Low,0
Cotton,Red,Zaid,North,75,34,31,5.18,147.9,30.1,44.2,23.48,Low,0
Wheat,Loamy,Zaid,East,91,43,45,5.73,126.6,35.1,39.9,26.23,Low,0
Cotton,Sandy,Rabi,North,103,22,62,5.54,192,36,45.1,19.15,Low,0
Wheat,Clay,Rabi,East,97,36,31,5.81,93,34.7,34,25.32,Low,0
Wheat,Clay,Rabi,Central,59,66,80,6.25,119.4,31,46.4,18.08,Low,0
Rice,Black,Zaid,Central,243,134,257,7,445.9,19.6,64,37.57,High,1
Cotton,Black,Zaid,Central,92,86,170,6.23,270.2,29.6,51,24.07,Moderate,1
Millets,Black,Zaid,West,102,102,156,6.11,283.5,26.8,65.3,30.98,Moderate,1
Sugarcane,Red,Rabi,East,208,114,165,7.61,439.2,18.4,84.7,35.84,High,1
Millets,Clay,Kharif,West,88,40,86,5.09,113.5,34,54.2,26.51,Low,0
Maize,Clay,Kharif,West,115,86,120,6.76,196.5,29.1,53.7,31.96,Moderate,1
Sugarcane,Red,Kharif,South,173,72,178,7.03,309.5,22.9,45.2,31.2,Moderate,1
Millets,Sandy,Kharif,East,188,102,113,6.01,160.5,24.4,60.4,31.47,Moderate,1
Sugarcane,Red,Kharif,North,42,40,48,6.16,175.8,33.6,42.8,24.9,Low,0
Millets,Sandy,Kharif,South,78,53,43,5.06,196.2,35.2,37.5,24.3,Low,0
Rice,Red,Zaid,South,229,166,281,8.06,372,27.7,76.9,38.5,High,1
Wheat,Black,Zaid,Central,50,37,84,5.6,158.6,36.7,27.8,17.86,Low,0
Sugarcane,Sandy,Rabi,South,105,61,60,5.34,90.3,35.8,46.8,17.24,Low,0
Rice,Black,Kharif,North,121,66,136,7.16,164.2,23.6,45.3,29.74,Moderate,1
Wheat,Clay,Kharif,North,172,96,140,6.32,165.6,23.7,64.5,27.55,Moderate,1
Maize,Red,Rabi,Central,189,57,139,6.71,195,25.9,40.9,24.03,Moderate,1
Wheat,Red,Kharif,West,284,153,174,8.1,339.6,22.6,66.8,35.2,High,1
Millets,Loamy,Zaid,Central,113,73,79,7.19,211,31.2,49.2,24.47,Moderate,1
Millets,Loamy,Kharif,West,92,41,15,5.09,196.4,37.5,38.8,26.41,Low,0
Sugarcane,Sandy,Rabi,West,79,37,88,5.51,191.5,31.9,39.5,16.06,Low,0
Maize,Loamy,Zaid,Central,186,102,113,6.54,290,23.8,49.4,30.9,Moderate,1
Cotton,Black,Kharif,Central,84,36,54,6.25,81,31.7,30.3,26.27,Low,0
Sugarcane,Clay,Kharif,West,194,58,100,6.6,283.3,31.7,72,26.85,Moderate,1
Cotton,Clay,Kharif,West,193,86,98,7.45,240,22.5,57.1,29.05,Moderate,1
Sugarcane,Red,Rabi,Central,102,52,17,5.84,126.1,32.6,48.1,23.62,Low,0
Wheat,Sandy,Kharif,Central,100,20,82,5.67,73.9,35.4,40.8,15.76,Low,0
Wheat,Red,Zaid,North,64,47,79,6,154.3,34.6,38.6,18.99,Low,0
Wheat,Sandy,Rabi,Central,214,142,244,8.16,324.9,21.8,75.2,32.73,High,1
Cotton,Black,Zaid,South,191,104,193,7.16,380,24,84.2,36.14,High,1
Maize,Sandy,Zaid,South,51,53,65,5.23,105.5,30.3,52.5,23.87,Low,0
Millets,Red,Zaid,East,217,100,230,7.06,311.6,19.2,85.8,36.54,High,1
Millets,Sandy,Zaid,West,107,75,161,7.45,246.1,30.4,57.1,22.4,Moderate,1
Millets,Red,Rabi,North,130,105,143,6.06,295.7,26,48.3,22.53,Moderate,1
Millets,Clay,Zaid,West,192,61,173,7.49,183.4,25.3,62.7,33.43,Moderate,1
Rice,Black,Kharif,West,63,68,55,5.84,185,32.6,49.4,23.72,Low,0
Sugarcane,Red,Kharif,East,104,70,125,7.38,184.8,23.4,48,31.66,Moderate,1
Wheat,Red,Rabi,North,91,70,147,6.39,169.2,30,66.6,22.12,Moderate,1
Millets,Clay,Kharif,Central,220,160,186,8.03,376.8,26.4,79.4,33.72,High,1
Rice,Sandy,Kharif,East,217,120,227,8.12,430.4,24.4,84,33.72,High,1
Rice,Sandy,Zaid,South,197,165,188,7.62,434.4,18.7,68.9,37.93,High,1
Maize,Loamy,Rabi,Central,108,93,75,6.76,196.3,26,66,32.44,Moderate,1
Maize,Loamy,Rabi,Central,118,55,121,6.07,277.4,26.5,47.6,29.43,Moderate,1
Sugarcane,Loamy,Zaid,South,81,44,31,5.62,184.7,34.4,32.8,15.04,Low,0
Sugarcane,Loamy,Kharif,Central,169,160,181,7.52,394.8,23.9,66.4,39.02,High,1
Cotton,Clay,Kharif,North,109,61,22,5.34,175.6,37.6,41.9,25.83,Low,0
Wheat,Loamy,Rabi,West,62,69,37,5.6,195.7,34.3,32.3,26.96,Low,0
Sugarcane,Clay,Zaid,Central,141,73,169,5.88,165.9,22.6,55.3,22.64,Moderate,1
Maize,Black,Rabi,Central,193,66,127,6.38,300.6,24.8,68.7,29.85,Moderate,1
Rice,Black,Zaid,South,267,157,216,6.58,287.2,18.9,66.1,35.68,High,1
Cotton,Red,Kharif,East,230,116,179,7.24,311.9,25.8,73.7,31.22,High,1
Maize,Clay,Kharif,East,84,37,46,5.49,117.2,32.3,45.4,15.5,Low,0
Wheat,Black,Kharif,Central,119,112,118,6.7,264.7,23.3,68.1,27.41,Moderate,1
Cotton,Clay,Zaid,North,259,142,221,7.05,425.2,26.6,81.6,35.5,High,1
Cotton,Red,Zaid,South,199,148,151,7.7,447.5,24.2,69.5,38.81,High,1
Rice,Red,Kharif,West,277,139,182,7.89,438.5,24.3,89.8,41.32,High,1
Maize,Clay,Rabi,East,278,131,281,6.93,327.1,27.4,81.6,41.83,High,1
Millets,Red,Rabi,East,121,58,171,6.2,157.5,23.7,70.7,33.45,Moderate,1
Sugarcane,Loamy,Rabi,West,220,147,270,6.53,278.5,24.7,62.8,36.84,High,1
Millets,Loamy,Rabi,Central,132,67,99,6.7,201.8,31.7,69.5,34.14,Moderate,1
Wheat,Red,Rabi,Central,68,50,70,5.23,107,33.4,35.1,24.69,Low,0
Millets,Black,Kharif,East,61,40,69,5.21,167,37,27.4,19.59,Low,0
Wheat,Red,Zaid,South,71,20,55,5.24,105.4,36.7,46.1,19.14,Low,0
Millets,Sandy,Kharif,North,41,42,37,5.16,100.6,35.3,52.9,22.82,Low,0
Millets,Black,Kharif,West,142,77,74,6.18,313.2,29.5,55.8,31.2,Moderate,1
Cotton,Clay,Kharif,North,174,114,70,5.83,228.8,23.4,61.6,25.84,Moderate,1
Maize,Sandy,Zaid,East,290,155,228,7.4,328.9,20.2,73.9,38.17,High,1
Maize,Loamy,Rabi,South,277,143,156,7.08,383.4,22.5,87.5,37.77,High,1
Wheat,Red,Kharif,North,181,53,114,7.31,301.7,28.6,48.1,25.24,Moderate,1
Millets,Loamy,Kharif,South,71,41,29,5.93,92.5,30.3,34.5,25.91,Low,0
Wheat,Clay,Kharif,Central,81,68,38,5.47,80.5,36.7,53.1,16.3,Low,0
Wheat,Clay,Zaid,Central,273,164,195,8.12,434.9,27.6,83.9,33.52,High,1
Sugarcane,Sandy,Zaid,South,135,67,108,6.61,158.6,25,43.7,34.19,Moderate,1
Maize,Clay,Zaid,East,147,67,104,6.17,200.7,26.9,58.5,27.9,Moderate,1
Sugarcane,Red,Rabi,South,191,85,144,6.48,202,27.3,73,32.38,Moderate,1
Rice,Clay,Rabi,East,163,145,252,6.7,308.1,21.6,87.6,35.87,High,1
Rice,Clay,Kharif,East,188,107,97,7,280.6,22.8,54.1,28.36,Moderate,1
Cotton,Clay,Kharif,East,165,118,290,6.8,442.8,24.6,76,32.73,High,1
Rice,Red,Rabi,East,121,107,120,6.95,152.6,26.6,51.8,28.01,Moderate,1
Cotton,Sandy,Kharif,East,107,51,72,6.04,308.8,22.3,70.9,23.1,Moderate,1
Rice,Clay,Rabi,East,116,20,32,5.86,77.7,31.6,52.7,18.71,Low,0
Sugarcane,Red,Rabi,East,88,30,16,5.85,136.5,32.2,41.5,22.46,Low,0
Wheat,Black,Zaid,North,214,145,281,6.51,323,19.2,76.3,41.52,High,1
Millets,Sandy,Zaid,East,74,23,78,5.15,79.5,33.3,51.8,24.58,Low,0
Millets,Black,Rabi,West,68,37,79,5.7,150.1,37.3,50.8,23.66,Low,0
Sugarcane,Clay,Rabi,South,254,127,270,7.66,316.3,18.3,66,40.25,High,1
Wheat,Clay,Zaid,Central,165,72,172,6.19,280.9,28.8,46.2,32.72,Moderate,1
Cotton,Black,Zaid,South,173,128,187,7.35,337.4,24.1,88.7,34.31,High,1
Millets,Loamy,Kharif,East,141,86,107,7.31,299.4,23.5,66,30.98,Moderate,1
Millets,Clay,Kharif,North,185,133,151,7.84,356.2,27.7,61.2,38.6,High,1
Millets,Sandy,Rabi,Central,70,69,85,5.12,95.5,30.4,26.1,17,Low,0
Rice,Sandy,Zaid,South,253,165,208,7.21,381.1,26.5,81.5,39.43,High,1
Maize,Sandy,Zaid,West,65,27,88,5.38,142.4,30.4,29,15.54,Low,0
Wheat,Loamy,Rabi,South,79,59,71,6.13,86.3,33.7,26.2,24.74,Low,0
Millets,Sandy,Rabi,West,149,79,168,7.1,194.5,30,63.3,34.71,Moderate,1
Rice,Loamy,Kharif,Central,74,60,78,5.35,100.6,31.8,33.5,23.5,Low,0
Rice,Clay,Kharif,East,180,115,138,6.8,313.8,24.6,58.7,32.23,Moderate,1
Wheat,Red,Kharif,South,185,92,118,6.71,256.9,22.7,68.6,31.11,Moderate,1
Cotton,Red,Zaid,North,170,57,163,7.43,315.7,22.7,68.6,23,Moderate,1
Maize,Loamy,Rabi,East,266,151,223,6.52,274.9,21.9,90,34.39,High,1
Cotton,Sandy,Kharif,West,291,134,211,7.67,404.6,21,82.9,37.97,High,1
Rice,Sandy,Rabi,South,114,29,15,5.79,185.1,31.7,51.6,21.43,Low,0
Millets,Black,Zaid,North,43,17,23,5.45,170.8,30.9,39.2,17.11,Low,0
Maize,Black,Rabi,North,183,123,271,8.01,369,20.1,77.3,38,High,1
Millets,Red,Rabi,Central,180,98,131,7.23,283.4,31.4,60.6,23.42,Moderate,1
Maize,Clay,Kharif,East,119,102,104,7.41,317.8,30.5,46.4,25.49,Moderate,1
Maize,Red,Rabi,North,137,51,167,7.25,292.9,26.7,53.8,34.79,Moderate,1
Sugarcane,Sandy,Rabi,South,47,16,42,5.37,182.6,32.6,53.5,24.65,Low,0
Millets,Loamy,Rabi,West,77,51,72,5.54,145.9,32,40.6,19.05,Low,0
Sugarcane,Loamy,Rabi,East,273,153,174,7.89,361.7,25.8,75.4,31.55,High,1
Wheat,Sandy,Rabi,North,112,94,114,6.98,301.4,23.1,60.9,26.14,Moderate,1
Cotton,Loamy,Zaid,North,292,121,256,7.22,440,21.9,60.8,33.36,High,1
Rice,Sandy,Rabi,Central,77,52,80,6.24,147.2,37,51.2,24.64,Low,0
Maize,Red,Zaid,North,273,159,288,7.48,427.1,27.1,69.5,36.15,High,1
Millets,Sandy,Zaid,South,78,63,60,5.36,101.4,33.9,39.9,25.09,Low,0
Maize,Black,Zaid,South,163,74,109,5.81,214.5,27.7,57.9,22.78,Moderate,1
Maize,Black,Zaid,West,76,33,37,5.12,186.5,33.4,27.7,15.06,Low,0
Maize,Clay,Rabi,Central,169,66,89,6.79,266.2,29.7,51.4,30.13,Moderate,1
Wheat,Clay,Rabi,Central,163,127,245,7.18,340.4,20,60.8,40.71,High,1
Cotton,Clay,Kharif,Central,190,162,231,6.86,262.1,26,86.9,39.47,High,1
Millets,Red,Kharif,South,130,80,76,6.13,234.8,25.8,67.6,33.56,Moderate,1
Cotton,Clay,Rabi,South,83,61,72,6.01,74.4,37.1,26.8,25.36,Low,0
Cotton,Loamy,Zaid,West,142,115,122,6.83,270.8,25.2,50.6,30.05,Moderate,1
Millets,Clay,Kharif,South,52,28,66,5.79,104.5,34.4,54.5,24.95,Low,0
Wheat,Sandy,Zaid,East,92,40,15,5.16,72.7,30.5,39.2,16.02,Low,0
Sugarcane,Sandy,Rabi,North,148,87,106,6.02,198.3,26.3,44.7,34,Moderate,1
Sugarcane,Loamy,Rabi,East,198,54,123,6.56,313.5,30.8,73.1,26.66,Moderate,1
Sugarcane,Sandy,Rabi,East,175,141,235,6.96,302.7,23.5,87.2,35.55,High,1
Millets,Black,Zaid,East,127,67,133,6.85,196.9,26.1,41.2,24.02,Moderate,1
Sugarcane,Loamy,Kharif,North,199,111,117,6.23,300.5,28.2,48,30.12,Moderate,1
Rice,Black,Rabi,North,123,55,120,6.06,217.3,25.1,54.9,30.71,Moderate,1
Maize,Clay,Rabi,South,95,118,72,6.79,207.2,22.7,62,26.12,Moderate,1
Wheat,Sandy,Kharif,East,151,114,149,7.21,282.3,26.3,72,26.19,Moderate,1
Millets,Black,Kharif,West,136,114,169,6.3,255.3,30.5,46.1,32.67,Moderate,1
Maize,Red,Rabi,South,104,43,87,5.5,194,33.5,30.6,25.06,Low,0
Millets,Clay,Rabi,North,70,49,77,5.36,114.5,31.1,53.2,26.2,Low,0
Millets,Sandy,Kharif,Central,276,123,182,7.28,410.6,23.4,85.9,31.39,High,1
Cotton,Red,Zaid,Central,62,55,43,6.25,75.5,36.6,32.1,16.34,Low,0
Cotton,Loamy,Zaid,East,226,168,205,6.87,335.1,27.8,63.7,39.74,High,1
Rice,Black,Kharif,North,177,58,75,6,209.5,30.9,68.5,31.2,Moderate,1
Millets,Loamy,Zaid,West,91,70,177,6.74,305.5,26.9,69.5,22.73,Moderate,1
Sugarcane,Red,Kharif,North,69,33,49,5.52,146.7,35.2,47.6,21.89,Low,0
Maize,Sandy,Kharif,Central,118,21,19,5.66,125.6,32.8,40.7,22.36,Low,0
Sugarcane,Sandy,Zaid,West,94,27,30,6,198.4,36.7,31,19.18,Low,0
Sugarcane,Red,Rabi,West,187,95,105,7.34,315.6,22.6,59.5,31.11,Moderate,1
